CONVERSATION ID,CONVERSATION TITLE,FROM,SENDER PROFILE URL,TO,DATE,SUBJECT,CONTENT,FOLDER
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-12-09 14:36:12 UTC,,,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-12-02 05:53:27 UTC,,😂,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Saiteja Pagadala,2022-12-01 19:03:27 UTC,,🥲🥲,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-12-01 18:40:00 UTC,,Data engineering nerchukundama?😅,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Saiteja Pagadala,2022-11-30 16:01:49 UTC,,,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-10-20 17:48:54 UTC,,,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-10-10 16:22:27 UTC,,Sarey WhatsApp ki ra,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Saiteja Pagadala,2022-10-10 16:21:11 UTC,,ah resume chesesthe nen kuda nitho prepare avtha kada🥹,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-10-10 16:20:39 UTC,,Ippud dani midhey kurchunta,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-10-10 16:20:20 UTC,,I’m extremely sorry soundarya interviews ki prepare aithunna,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Saiteja Pagadala,2022-10-10 16:19:34 UTC,,mari nilaga heavy ga oddhu ,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Saiteja Pagadala,2022-10-10 16:19:28 UTC,,Na resume inka cheyyakapothe eh projects chesa ani petru,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-10-10 16:18:12 UTC,,,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-09-29 12:13:17 UTC,,🫠,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Saiteja Pagadala,2022-09-29 11:48:17 UTC,,🙃,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-09-29 11:46:21 UTC,,,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-09-14 13:27:25 UTC,,,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-09-13 15:11:25 UTC,,,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-07-27 21:31:30 UTC,,Chudu,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-07-27 21:31:23 UTC,,Perseverance ,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-07-27 21:31:20 UTC,,Adhey kadha ,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Saiteja Pagadala,2022-07-27 21:14:50 UTC,,2019 nunchi ah🥲,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-07-27 20:19:59 UTC,,Idhi chudu ,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-07-27 20:19:33 UTC,,,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Saiteja Pagadala,2022-07-16 11:15:20 UTC,,👍,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-07-15 18:09:15 UTC,,,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-07-07 09:56:09 UTC,,,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Saiteja Pagadala,2022-07-06 14:55:02 UTC,,,INBOX
2-NWFmZTM5ZDQtMmYxYS00NjI1LThlZmItZWZhYmM5MTM1ZDZhXzAxMg==,Become a work-place ready engineer at TEDI-London,Judy Raper,,Soundarya Vadlamani,2022-12-20 04:19:54 UTC,,"<p class=""spinmail-quill-editor__spin-break"">Hi Soundarya!</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">I'm the Dean of The Engineering &amp; Design Institute London (TEDI-London) - a new, engineering-specialist higher education provider in Canada Water. If you're considering a new career move, I thought you might be interested in learning more about our hands-on, project-based Global Design Engineering degree programmes and how they can help you enhance your professional skillset.</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">The engineering industry is crucial when it comes to solving global challenges such as food shortage, climate change, and inequality. As an engineer, you could make a real-world difference, whilst also working in a fast-paced and innovative industry where teamwork and problem-solving are at the heart of every project. With fantastic career prospects and a broad range of roles and sectors to work in, becoming an engineer has never been so exciting.</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">Studying a degree at TEDI-London will help you build a professional project portfolio, develop important theoretical and workplace skills, and network with key industry employers.</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">If you're interested, come along to our next open day to discover our state-of-the-art campus facilities and learn more about Global Design Engineering.</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">Hope to see you there,</p><p class=""spinmail-quill-editor__spin-break"">Professor Judy Raper</p>",INBOX
2-ZjY1ZmU4N2QtMmE4Zi00NzFjLTg2OTctM2RmYTEyMzk4OTFlXzAxMw==,,Himanshu Jain,https://www.linkedin.com/in/himanshu-jain-62502b10b,Soundarya Vadlamani,2022-12-18 13:44:00 UTC,,Hello soundarya,INBOX
2-YzYzOWQzNDItZWNhOS00ZWM1LWE0YTQtMzMyOWZhOTNjMGZhXzAxMw==,Hey Soundarya - Are you on the market looking for a new position?,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Sanjidah A.,2022-12-15 17:03:12 UTC,Hey Soundarya - Are you on the market looking for a new position?,"Hi Sanjidah, Thanks for your message. I am available to have a chat on monday next week. Thank you. ",INBOX
2-YzYzOWQzNDItZWNhOS00ZWM1LWE0YTQtMzMyOWZhOTNjMGZhXzAxMw==,Hey Soundarya - Are you on the market looking for a new position?,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Sanjidah A.,2022-12-15 17:02:31 UTC,Hey Soundarya - Are you on the market looking for a new position?,,INBOX
2-YzYzOWQzNDItZWNhOS00ZWM1LWE0YTQtMzMyOWZhOTNjMGZhXzAxMw==,Hey Soundarya - Are you on the market looking for a new position?,Sanjidah A.,https://www.linkedin.com/in/sanjidah-a-8247a1154,Soundarya Vadlamani,2022-12-15 16:59:58 UTC,Hey Soundarya - Are you on the market looking for a new position?,"Hey Soundarya,  I hope you're well!    Thank you for accepting my InMail. I've come across your profile and I'm curious in finding out what's your next step in your career. We have many roles available with our clients as we work with over 150 UK Microsoft Partners.     I can help you join award winning consultancies and MSP’s in the UK. So you can receive the rewards for all your hard work you put in.     If you are available sometime this week. I'd be keen on having a conversation with you to find the perfect role for you.     This will be a short informal call just so we can get to know what you're looking for but also for you to get to know me too! :)     If it's a YES, please send me your CV so we can discuss your experience and book a meeting with myself.     (Unfortunately we don't offer any sponsorship)   Many thanks,  Sanj Ahmed | Delivery Recruitment Consultant E: Sanjidah.ahmed@spgsearch.com T: +4420 4518 0580  View my availability: https://lnkd.in/dq8CFKkX",INBOX
2-NWFmNmFmMWMtYzliZS00ODBiLTgzNjQtYjlkMTcyYzI4ODFmXzAxMg==,Sponsored Conversation,LinkedIn Member,,Soundarya Vadlamani,2022-12-08 02:08:03 UTC,,"Hi there, %FIRSTNAME%! My name is Diane from the LinkedIn Premium team. We want you to be well prepared for your next career move. Reactivate your Premium subscription now and get 50% off 2 months of LinkedIn Premium. ",INBOX
2-MThjZGNhNDgtYzc0OC00ODdhLTk3OWItNTdkMzMwMzM5OTE0XzAxMg==,How To Outrank Industry Giants at SEO,Alexej Pikovsky,,Soundarya Vadlamani,2022-11-05 18:01:22 UTC,,"<p class=""spinmail-quill-editor__spin-break"">Hey Soundarya!</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">I hope you're doing great. I wanted to let you know about an exciting opportunity - a free <strong>Advanced SEO webinar</strong> that I think you would love.</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">This webinar is going to be packed with actionable tips and <strong>savvy SEO tactics</strong> that you can use to improve your website's ranking on Google. And it's completely free!</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">I think it would be an awesome learning experience for you, so I wanted to make sure you knew about it.</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">The webinar is happening next week, so sign up now and reserve your spot! Hope to see you there. :)</p>",INBOX
2-NjU1MTA4ZjEtNjk1NS00ZmQ3LWFmZWEtNGI4MjNkZGQ1NGU0XzAxMg==,Sponsored Conversation,LinkedIn Member,,Soundarya Vadlamani,2022-10-29 06:22:26 UTC,,"Hi there, %FIRSTNAME%! My name is Diane from the LinkedIn Premium team. We want you to be well prepared for your next career move. Reactivate your Premium subscription now and get 50% off 2 months of LinkedIn Premium. ",INBOX
2-ODAxYzk4MGEtNjJhZC00NzFhLWE3M2MtYWIyZjM4YmNmZDIwXzAxMw==,Follow up - Full Stack .NET/Angular Developer - Oxfordshire - £40-45k,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Matt Roberts,2022-10-21 16:13:15 UTC,,"Hi robert, Thanks for your message. However, I live London and looking for roles within the area. Also looking for roles in Data science. Please do let me know if you have any clients for the same. Thank you",INBOX
2-ODAxYzk4MGEtNjJhZC00NzFhLWE3M2MtYWIyZjM4YmNmZDIwXzAxMw==,Follow up - Full Stack .NET/Angular Developer - Oxfordshire - £40-45k,Matt Roberts,https://www.linkedin.com/in/matt-roberts-675959118,Soundarya Vadlamani,2022-10-19 17:06:39 UTC,Follow up - Full Stack .NET/Angular Developer - Oxfordshire - £40-45k,"Hi Soundarya,  I hope all is well! I just wanted to follow up on my last message to see that it came through ok and to find out your thoughts.  Currently, I am working with a client in Oxfordshire who are looking for a mid-level  .NET/Angular Software Engineer paying around £45k.   Overview of this particular role:  This client has been in the fitness and leisure industry for over 35 years. They are looking for a mid-level Software Engineer to take on an exciting role within their busy team. This role will be a hands-on position working on their core product set and give you an opportunity to be involved with the on-going innovation effort.  Experience:  Experience with .NET Writing unit tests Azure Experience in software application development Knowledge of Object Oriented Programming Knowledge of Relational Databases  Nice to have:  Experience in Automated Testing Development of UI/UX designs using wireframing and AngularJS  I look forward to hearing from you!  Thanks Matt  Matt Roberts Consultant | Surrey and Hampshire | Technology Mobile: 07881387884",INBOX
2-NjMxNWI3MDItOWY4Yy00Zjc3LTljZTUtMjJhMjcxMzkwZTU4XzAxMg==,,Pavan Kumar Varma Alluri,https://www.linkedin.com/in/pavan-kumar-varma-alluri-379634ab,Soundarya Vadlamani,2022-10-18 00:45:44 UTC,,Same here,INBOX
2-NjMxNWI3MDItOWY4Yy00Zjc3LTljZTUtMjJhMjcxMzkwZTU4XzAxMg==,,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Pavan Kumar Varma Alluri,2022-10-17 23:21:18 UTC,,"Hi pavan, Glad to connect with you.  ",INBOX
2-NjMxNWI3MDItOWY4Yy00Zjc3LTljZTUtMjJhMjcxMzkwZTU4XzAxMg==,,Pavan Kumar Varma Alluri,https://www.linkedin.com/in/pavan-kumar-varma-alluri-379634ab,Soundarya Vadlamani,2022-10-17 23:20:16 UTC,,"Hi Soundarya, Would like to get connected with you.  If you are looking to build Data Science network please do add me. ",INBOX
2-NjFhZDM4Y2MtOGVhZS00OGJmLWI0NTktZWJlYmUzYWNkNDIyXzAxMw==,Full Stack .NET/Angular Developer - Oxfordshire - £40-45k,Matt Roberts,https://www.linkedin.com/in/matt-roberts-675959118,Soundarya Vadlamani,2022-10-14 11:21:34 UTC,Full Stack .NET/Angular Developer - Oxfordshire - £40-45k,"Hi Soundarya,  I hope all is well! I wanted to get in touch and see if you were interested in new opportunities.  Currently, I am working with a client in Oxfordshire who are looking for a mid-level  .NET/Angular Software Engineer paying around £45k.   Overview of this particular role:  This client has been in the fitness and leisure industry for over 35 years. They are looking for a mid-level Software Engineer to take on an exciting role within their busy team. This role will be a hands-on position working on their core product set and give you an opportunity to be involved with the on-going innovation effort.  Experience:  Experience with .NET Writing unit tests Azure Experience in software application development Knowledge of Object Oriented Programming Knowledge of Relational Databases  Nice to have:  Experience in Automated Testing Development of UI/UX designs using wireframing and AngularJS  I look forward to hearing from you!  Thanks Matt  Matt Roberts Consultant | Surrey and Hampshire | Technology Mobile: 07881387884",INBOX
2-Zjg1YWNhNjktNTA5Yy00ZjZlLTg2NjktNzUxODhlMmEwYzhmXzAxMg==,,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Jaga Chandar,2022-09-29 11:37:03 UTC,,"Sure, please let me know more about the roles. Thank you ",INBOX
2-Zjg1YWNhNjktNTA5Yy00ZjZlLTg2NjktNzUxODhlMmEwYzhmXzAxMg==,,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Jaga Chandar,2022-09-29 11:36:38 UTC,,"Hi, Jaga",INBOX
2-Zjg1YWNhNjktNTA5Yy00ZjZlLTg2NjktNzUxODhlMmEwYzhmXzAxMg==,,Jaga Chandar,https://www.linkedin.com/in/jaga-chandar-75549312,Soundarya Vadlamani,2022-09-29 11:35:54 UTC,,"Hi We have opportunities in UK in Data space(Data Engineers, Data Scientists etc) with visa sponsorship for the right candidates.  Also, we need trainers in Data and Cloud space. ",INBOX
2-MzUzODZiYTItYmRhOC00NGE0LWIxZWEtMDQzOGQxNzFhYWMyXzAxMg==,,Megan Ainsworth,https://www.linkedin.com/in/meganainsworth1,Soundarya Vadlamani,2022-09-16 20:33:53 UTC,,"Hi Soundarya,  I am Megan, a Wiser Academy Ambassador - my role is to help headhunt students for some of our amazing clients!  I was just looking at your profile and would love to tell you about some opportunities at Maven Securities that I think you would be perfect for!  Maven Securities are a proprietary trading firm, that believe technology and trading go hand in hand!  Their technologists include developers and trading system engineers that are responsible for in-house applications and use programming software such as Python, C++ and C#.  There are a variety of different opportunities available from internships to graduate roles in both technology and traders!  If this is something that sounds of interest to you then please do let me know and I would love to tell you more about it.  There are also a few networking and informative events being held at Maven next month so these may also be of interest to you!  Hope you have a lovely evening! Megan",INBOX
2-ZTI4MzUzMmEtZjA3Zi00MzIwLTg2YzItZjk0YTU0NjE2MWNlXzAxMw==,Opportunity_Project Manager @ Pearson,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Rohit Goel,2022-09-02 17:38:09 UTC,Opportunity_Project Manager @ Pearson,"Hi rohit, Thanks for your message. However, the role is not suitable for me. I am looking fot entry level Data scientist/Data analyst positions. Thank you",INBOX
2-ZTI4MzUzMmEtZjA3Zi00MzIwLTg2YzItZjk0YTU0NjE2MWNlXzAxMw==,Opportunity_Project Manager @ Pearson,Rohit Goel,https://www.linkedin.com/in/joinrohitgoel,Soundarya Vadlamani,2022-07-27 00:47:33 UTC,Opportunity_Project Manager @ Pearson,"Hi,  Trust you are doing well.    I hope you won’t mind my direct approach but wondered if you are interested in hearing about what’s happening at Pearson?    Currently we looking for ""Project Manager"" to join us on our journey to help the world and improve people’s lives.   We are looking for a recent graduate excited about project management and interested in learning the following skills:  Agile methodology Working with cross functional teams Working multiple projects simultaneously Managing project schedules Facilitating follow up meetings and coordinate actions No experience necessary  I have attached a position link below where you can view the job description and apply for the role.    https://hccz.fa.em3.oraclecloud.com:443/hcmUI/CandidateExperience/en/job/6766/share/300002330058656?utm_medium=jobshare  If you would like to know more or have any questions , please do get in touch. I will be happy to arrange a convenient time to discuss and understand what you want from your next challenge.    If you are interested, please do apply on link and also share resume with the following details on rohit.goel@pearson.com      Total experience into Project Management -  Experience in Agile-    Current Salary -    Expected Salary -    Notice Period -    VISA Status -  Thanks.     Regards Rohit Goel  Senior Talent Acquisition Partner  Global Recruitment @ Pearson  Rohit Goel Senior Hiring Advisor @ Pearson",INBOX
2-MWI0MTRjZWYtOWM3YS00OGY4LWI0MDMtYmFlY2M4M2MzYjI3XzAxMA==,Software Engineer,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Ismail Khan,2022-09-02 17:37:02 UTC,Software Engineer,what technologies is the recruitment for?,INBOX
2-MWI0MTRjZWYtOWM3YS00OGY4LWI0MDMtYmFlY2M4M2MzYjI3XzAxMA==,Software Engineer,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Ismail Khan,2022-09-02 17:36:44 UTC,Software Engineer,"Hi Ismail, Thanks for your message. ",INBOX
2-MWI0MTRjZWYtOWM3YS00OGY4LWI0MDMtYmFlY2M4M2MzYjI3XzAxMA==,Software Engineer,Ismail Khan,https://www.linkedin.com/in/ismail-khan-81b549216,Soundarya Vadlamani,2022-08-26 10:46:23 UTC,Software Engineer,"Hi ,  How are you doing?  Reason for my contact being – I head up the recruitment function across Operations and Analytics exclusively into the Insurance Market across Permanent and Interim solutions and wanted to introduce myself and see if you were currently open to new opportunities.  I am currently recruiting for 3 Software Engineering roles at a market leading Insurance company that I wanted to discuss with you:  Associate Software Engineer- salary  up to £40,000  Software Engineer- salary  up to £65,000  Software Engineer- salary  up to £40,000  Would you be interested in discussing this further? If so what is the best number to reach you on?  Kind regards, Ish  Ismail khan Bachelor's degree at Royal Holloway, University of London",INBOX
2-ZjM0ZTczNjgtZmE4ZC00NjRhLWJhZDctN2ZkNzkzYTFmMmUwXzAxMw==,"New Job Alert circa £90,000",Rachel McIvor,https://www.linkedin.com/in/rachel-mcivor-234b061b0,Soundarya Vadlamani,2022-09-02 15:38:27 UTC,"New Job Alert circa £90,000","Hi, hope you are well. I work for a leading recruitment firm based solely within the finance industry. We are looking to fill this new role and after having a look at your profile I think you may qualify as a candidate. If interested in having a quick discussion regarding the role please don't be afraid to contact me at @rachel.mcivor@harringtonstarr.com  This is a brief description of the role:  Lead Full Stack Developer  City of London  £90,000 + bonus + benefits  This firm is a small and growing company looking for a tech lead to work in their dynamic and opportunistic role whilst providing them the opportunity to learn about capital markets and derivative markets.   This role presents the chance to witness and reap the rewards of direct impact of revenue generating work on the system.  Role Requirements:   - Candidate must have minimum 5 years commercial experience using python  - Similar experience using REACT  - Candidate must be comfortable building REST API's using python  This role provides an opportunity to not only be rewarded with a large compensation but presents the chance to progress alongside this growing company whilst seeing a direct impact of the work you put in.   Hope this finds you well, please get back to me if you have questions. Have a lovely day!  Rachel McIvor FinTech Recruiter; Placing professionals in C++ and Python roles within the Finance Sector",INBOX
